type,name,chapter,baseHealth,speedTilesPerSecond,eatDamagePerSecond,waveCost,armorParts,behavior
NORMAL,Normal Zombie,COMMON,190,0.185,100,100,,NORMAL
CONEHEAD,Conehead,COMMON,190,0.185,100,200,cone:370:false,ARMORED
BUCKETHEAD,Buckethead,COMMON,190,0.185,100,400,bucket:1100:true,ARMORED
KNIGHT,Knight,COMMON,190,0.185,100,550,helmet:1600:true|shoulderArmor:1600:false,ARMORED
BLOCKHEAD,Blockhead,COMMON,190,0.185,100,700,block:2200:false,ARMORED
GARGANTUAR,Gargantuar,COMMON,1800,0.240,100,1500,,GARGANTUAR
IMP,Imp,COMMON,190,0.220,100,100,,IMP
ALL_STAR,All-Star,COMMON,1100,0.160,100,1000,,ALL_STAR
ARCADE_ZOMBIE,Arcade Zombie,COMMON,490,0.190,100,600,arcadeMachine:1100:false,ARCADE
PARASOL_ZOMBIE,Parasol Zombie,COMMON,350,0.250,100,200,,PARASOL
TURQUOISE_ZOMBIE,Turquoise Zombie,COMMON,250,0.185,100,500,,TURQUOISE
PROSPECTOR,Prospector,COMMON,190,0.160,100,200,,PROSPECTOR
PIANIST,Pianist,COMMON,840,0.120,4000,450,piano:1100:false,PIANIST
NEWSPAPER_ZOMBIE,Newspaper Zombie,COMMON,460,0.220,200,700,newspaper:190:false,NEWSPAPER
BARREL_ROLLER,Barrel Roller,COMMON,190,0.185,100,600,barrel:1100:false,BARREL_ROLLER
RA_ZOMBIE,Ra Zombie,ANCIENT_EGYPT,190,0.200,100,100,,RA
EXPLORER,Explorer,ANCIENT_EGYPT,250,0.250,100,250,,EXPLORER
TOMBRAISER,Tombraiser,ANCIENT_EGYPT,380,0.185,100,300,,TOMBRAISER
DODO_RIDER,Dodo Rider,FROSTBITE_CAVES,490,0.300,100,600,,DODO
HUNTER,Hunter,FROSTBITE_CAVES,700,0.120,100,500,,HUNTER
TROGLOBITE,Troglobite,FROSTBITE_CAVES,470,0.185,100,600,groundIce:1100:false,TROGLOBITE
FISHERMAN,Fisherman,BIG_WAVE_BEACH,1000,0.185,100,700,,FISHERMAN
SNORKEL,Snorkel,BIG_WAVE_BEACH,350,0.185,100,200,,SNORKEL
OCTOPUS_ZOMBIE,Octopus Zombie,BIG_WAVE_BEACH,910,0.120,100,900,,OCTOPUS
JESTER,Jester / Juggler,DARK_AGES,420,0.200,100,450,,JESTER
WIZARD,Wizard,DARK_AGES,490,0.120,100,800,,WIZARD
KING,King,DARK_AGES,1000,0.185,100,750,,KING
DRAGON_IMP,Dragon Imp,DARK_AGES,190,0.185,100,150,,DRAGON_IMP
