Quest Name,Category,Completion Condition,Reward Type,Priority,Variables
Daily Sun Collector,Daily,Collect sun_amount units of sun during one day,sun_amount / 100 Coins,Medium,3000-4000-5000
Chapter Hunter,Main,Defeat 50 zombies from chapter chapter,10 Seed Packets,High,Any of the game's chapters
Plant Pro,Daily,Kill ten zombies using only plant,Random New Plant,High,Any plant capable of killing
Only Cactus,Daily,Kill ten zombies using only cactus,20 Gems,High,
Frugal Gardener,Main,Win a level without losing more than n plants,20 - n Seed Packets,High,0-1-2-3-4-5
Defense Master,Epic (Challenge),Finish a level with exactly zero sun,200 Gems,Critical,
Quick Action,Main,Kill 10 zombies within 30 seconds of the first zombie wave starting,500 Coins,Medium,
Professional Demolisher,Daily,Use 3 explosive plants in one level,100 Coins,Low,
Symmetry,Daily,The garden board must end up symmetric,500 Coins,High,
Family Slaughter,Daily,Only use family_type plants to kill zombies,1000 Coins,Medium,Plant family
Blooming Within Limits,Daily,Win the level without using any plant from the family_type family,100 Gems,High,Plant family
Night or Day,Epic (Challenge),Finish a day level using night plants (mushrooms),20 Gems,High,
Winning Streak,Daily,Win 5 levels in a row at the highest difficulty,5000 Coins,Medium,
Almost Victorious,Daily,Kill 10 zombies in the first column of a row that has no lawnmower,300 Coins,Medium,
Asymmetric OCD,Daily,Win the level in a state where there is no symmetry in the garden (except the middle row),800 Coins,Medium,
Cloudy Day,Daily,Beat a level using only 3 sun-producing plants,10 Gems,High,
One Column Less,Daily,Win a level provided that no plant was planted in column n,10 Gems,High,Number of columns
Undefended Row,Daily,Win a level provided that no plant was planted in row n,20 Gems,High,Number of rows
Undefended Cross,Daily,Win a level provided that column and row n are empty,25 Gems,High,Minimum of number of rows and columns
Lawnmower Time,Epic (Challenge),Kill at least n zombies with the lawnmower,n Gems,Medium,10-20-30-40-50
